"","YEAR","COMPANY","PRICE","Sell","VOLUME","MARKET CAP","EARNINGS","COGS","SALES","CASH","INVESTMENTS","RECEIVABLE","INVENTORY","DEBTS","Name","Sector","CPALTT01USM657N_PC1","GDP","GDP_PC1","T10Y2Y","M1SL_PC1","M1SL","Earnings_next_year","PROFIT"
"602",1999,"LOW",15.32812,11.98438,1524960000,23374777500,482400000,8949800000,12244900000,222700000,0,143900000,2104800000,191500000,"Lowe's","Consumer Discretionary","65.9","9631.127","6.3",0.2,"2.0","1102.3",672795000,-21.8144169017466
"603",2021,"MA",363.299988,0,982910000,357091191205.08,6.411e+09,3.787e+09,1.5301e+10,1.0113e+10,4.83e+08,4.352e+09,0,6.49e+08,"Mastercard","Information Technology","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"604",2020,"MA",228.610001,364.539994,1.002e+09,229067221002,8.118e+09,3.537e+09,1.6883e+10,6.988e+09,6.88e+08,5.509e+09,0,0,"Mastercard","Information Technology","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",6.411e+09,59.4593379140924
"605",2019,"MA",239.050003,308.12999,1.017e+09,243113853051,5.859e+09,3.214e+09,1.495e+10,6.682e+09,1.696e+09,4.728e+09,0,5e+08,"Mastercard","Information Technology","19.3","21372.582","4.1",0.2,"4.5","3844.3",8.118e+09,28.8977143413799
"606",2018,"MA",171.600006,228.33,1.041e+09,178635606246,3.915e+09,2.687e+09,1.2497e+10,5.933e+09,1.849e+09,3.344e+09,0,0,"Mastercard","Information Technology","-9.3","20527.159","5.4",0.4,"4.4","3680.4",5.859e+09,33.0594359070127
"607",2017,"MA",112.239998,174.400005,1.067e+09,119760077866,4.059e+09,2.225e+09,1.0776e+10,6.721e+09,1.614e+09,2.509e+09,0,0,"Mastercard","Information Technology","1.7","19479.623","4.2",0.9,"8.5","3523.9",3.915e+09,55.3813329540508
"608",2016,"MA",95.870003,113.099998,1.098e+09,105265263294,3.808e+09,2.105e+09,9.667e+09,5.747e+09,9.91e+08,2.147e+09,0,0,"Mastercard","Information Technology","180.4","18695.106","2.7",1,"7.5","3248.5",4.059e+09,17.9722483162956
"609",2015,"MA",86.739998,90.769998,1.134e+09,98363157732,3.617e+09,2.064e+09,9.473e+09,5.137e+09,1.168e+09,2.161e+09,0,0,"Mastercard","Information Technology","-3.7","18206.024","3.7",1.5,"7.3","3021.8",3.808e+09,4.64606881821694
"610",2014,"MA",74.809998,92.509997,1.165e+09,87153647670,3.116e+09,1.739e+09,8.346e+09,3.599e+09,2.696e+09,2.317e+09,0,0,"Mastercard","Information Technology","-49.1","17550.688","4.2",2.1,"10.4","2815.1",3.617e+09,23.6599378067087
"611",2013,"MA",53.723,77.02,1.211e+10,650585530000,2.759e+09,1.565e+09,7.391e+09,2.052e+09,2.987e+09,2.205e+09,0,0,"Mastercard","Information Technology","-13.8","16843.196","3.6",2,"10.1","2549.6",3.116e+09,43.3650391824731
"612",2012,"MA",43.205,51.95,1.25e+09,54006252500,1.906e+09,0,6.714e+09,3.734e+09,1.215e+09,1.409e+09,0,0,"Mastercard","Information Technology","-40.8","16253.970","4.2",1.5,"15.2","2315.3",2.759e+09,20.2407128804537
"613",2011,"MA",25.355,42.103,1.28e+09,32454400000,1.846e+09,0,5.539e+09,3.067e+09,1.131e+09,1.147e+09,0,0,"Mastercard","Information Technology","97.1","15599.732","3.7",2.3,"15.4","2010.2",1.906e+09,66.0540327351607
"614",2010,"MA",25.394,24.096,1.31e+09,33266138690,1462532000,0,5098684000,2055439000,824345000,995645000,0,0,"Mastercard","Information Technology","-44.8","15048.970","3.9",2.5,"6.4","1742.6",1.846e+09,-5.11144364810585
"615",2009,"MA",16.008,23.334,1298380000,20784465742,-253915000,0,4991600000,1505160000,742095000,1350981000,0,149380000,"Mastercard","Information Technology","1843.6","14478.067","-2.0",2.3,"14.2","1638.1",1462532000,45.7646176911544
"616",2008,"MA",22.96,15.123,1301480000,29881979499,1085886000,0,4067599000,1659295000,1310687000,1245191000,0,8e+07,"Mastercard","Information Technology","-96.5","14769.862","2.0",1.7,"4.5","1434.7",-253915000,-34.133275261324
"617",2007,"MA",10.696,18.916,1348870000,14427513520,50190000,0,3326074000,1185080000,1298841000,763214000,0,0,"Mastercard","Information Technology","59.1","14474.227","4.8",0.3,"-0.2","1373.1",1085886000,76.8511593118923
"618",2021,"MET",61.599998,0,875410000,53925254249.18,5.407e+09,0,6.7842e+10,1.9795e+10,3.58713e+11,1.787e+10,0,3.93e+08,"MetLife","Financials","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"619",2020,"MET",27.9,61.279999,892910600,24912205740,5.899e+09,0,6.962e+10,1.6598e+10,3.3167e+11,2.0443e+10,0,2.35e+08,"MetLife","Financials","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",5.407e+09,119.641573476703
"620",2019,"MET",44.130001,46.320001,915338098,40393871180.0781,5.123e+09,0,6.7941e+10,1.5821e+10,3.02202e+11,1.9644e+10,0,2.68e+08,"MetLife","Financials","19.3","21372.582","4.1",0.2,"4.5","3844.3",5.899e+09,4.96261035661431
"621",2018,"MET",45.02,47.229999,958613542,43156781660.84,4.01e+09,0,6.2308e+10,1.2701e+10,3.16314e+11,1.8423e+10,0,4.77e+08,"MetLife","Financials","-9.3","20527.159","5.4",0.4,"4.4","3680.4",5.123e+09,4.90892714349177
"622",2017,"MET",46.702316,47.243012,1043588396,48737995043.9251,8e+08,0,6.3476e+10,1.7877e+10,3.61893e+11,2.6101e+10,0,2.42e+08,"MetLife","Financials","1.7","19479.623","4.2",0.9,"8.5","3523.9",4.01e+09,1.15774986405384
"623",2016,"MET",39.714794,49.848483,1095519005,43508311606.66,5.31e+09,0,6.9951e+10,1.2752e+10,3.64022e+11,2.2863e+10,0,1e+08,"MetLife","Financials","180.4","18695.106","2.7",1,"7.5","3248.5",8e+08,25.5161565234356
"624",2015,"MET",44.803921,38.484849,1098028525,49195983289.8465,6.309e+09,0,7.3316e+10,1.0808e+10,3.77677e+11,2.2244e+10,0,1e+08,"MetLife","Financials","-3.7","18206.024","3.7",1.5,"7.3","3021.8",5.31e+09,-14.1038370280137
"625",2014,"MET",47.629234,47.433155,1131927894,53912858534.4532,3.368e+09,0,6.8199e+10,7.585e+09,3.67544e+11,2.1859e+10,0,1.75e+08,"MetLife","Financials","-49.1","17550.688","4.2",2.1,"10.4","2815.1",6.309e+09,-0.41167783634731
"626",2013,"MET",33.54724,45.60606,1122030137,37641010927,1.324e+09,0,6.815e+10,1.5738e+10,3.94063e+11,2.1634e+10,0,1e+08,"MetLife","Financials","-13.8","16843.196","3.6",2,"10.1","2549.6",3.368e+09,35.9457886848516
"627",2012,"MET",33.86809,32.30392,1091686736,36973346810,6.981e+09,0,7.0262e+10,1.0461e+10,1.731e+10,2.2481e+10,0,6.86e+08,"MetLife","Financials","-40.8","16253.970","4.2",1.5,"15.2","2315.3",1.324e+09,-4.61841810388482
"628",2011,"MET",40.33868,35.39216,1057957028,42676590006,2.79e+09,0,5.2717e+10,1.3046e+10,9.387e+09,1.983e+10,0,3.06e+08,"MetLife","Financials","97.1","15599.732","3.7",2.3,"15.4","2010.2",6.981e+09,-12.2624736357263
"629",2010,"MET",39.2246,41.6934,985837817,38669092065,-2.246e+09,0,4.1058e+10,1.0112e+10,8.374e+09,1.7068e+10,0,9.12e+08,"MetLife","Financials","-44.8","15048.970","3.9",2.5,"6.4","1742.6",2.79e+09,6.29400937166981
"630",2009,"MET",20.88235,33.22638,817302327,17067195700,3.209e+09,0,5.0989e+10,2.4207e+10,1.3878e+10,1.6973e+10,0,2.659e+09,"MetLife","Financials","1843.6","14478.067","-2.0",2.3,"14.2","1638.1",-2.246e+09,59.1122646636993
"631",2008,"MET",56.04278,15.37433,716704688,40166124588,4.317e+09,0,5.3007e+10,1.0368e+10,2.648e+09,1.4607e+10,0,6.67e+08,"MetLife","Financials","-96.5","14769.862","2.0",1.7,"4.5","1434.7",3.209e+09,-72.5667962938312
"632",2007,"MET",56.44385,52.21034,743772242,41981369605,6.293e+09,0,4.8396e+10,7.107e+09,2.709e+09,1.449e+10,0,1.449e+09,"MetLife","Financials","59.1","14474.227","4.8",0.3,"-0.2","1373.1",4.317e+09,-7.50039198247461
"633",2006,"MET",43.17291,56.85383,761310260,32867975531,4.714e+09,0,4.4776e+10,4.018e+09,3.306e+09,1.2186e+10,0,1.414e+09,"MetLife","Financials","-25.4","13815.583","6.0",0,"0.2","1375.2",6.293e+09,31.6886677316864
"634",2005,"MET",34.63458,44.74153,748953301,25939685267,2.758e+09,0,3.9014e+10,4.051e+09,2.663e+09,6.696e+09,0,1.445e+09,"MetLife","Financials","5.2","13039.197","6.7",0.4,"2.1","1372.2",4.714e+09,29.1816733449633
"635",2004,"MET",31.98752,37.02317,749456522,23973256986,2.217e+09,0,3.5789e+10,3.733e+09,1.826e+09,7.047e+09,0,3.642e+09,"MetLife","Financials","71.8","12217.196","6.6",1.9,"5.5","1344.6",2.758e+09,15.7425458428787
