"","YEAR","COMPANY","PRICE","Sell","VOLUME","MARKET CAP","EARNINGS","COGS","SALES","CASH","INVESTMENTS","RECEIVABLE","INVENTORY","DEBTS","Name","Sector","CPALTT01USM657N_PC1","GDP","GDP_PC1","T10Y2Y","M1SL_PC1","M1SL","Earnings_next_year","PROFIT"
"212",2014,"CMCSA",24.965,30.272499,4672204936,116641596227.24,6.816e+09,1.967e+10,6.4657e+10,1.718e+09,3.573e+09,6.376e+09,0,3.28e+09,"Comcast","Communication Services","-49.1","17550.688","4.2",2.1,"10.4","2815.1",8.38e+09,21.2597596635289
"213",2013,"CMCSA",20.690001,25.89,4744624821,98166292291.1148,6.203e+09,1.9929e+10,6.257e+10,1.0951e+10,1.464e+09,5.521e+09,0,2.376e+09,"Comcast","Communication Services","-13.8","16843.196","3.6",2,"10.1","2549.6",6.816e+09,25.132908403436
"214",2012,"CMCSA",15.025,20.341,4761771108,71545610898,4.16e+09,2.0758e+10,5.5842e+10,1.62e+09,0,4.351e+09,0,1.367e+09,"Comcast","Communication Services","-40.8","16253.970","4.2",1.5,"15.2","2315.3",6.203e+09,35.3810316139767
"215",2011,"CMCSA",12.605,14.951,4801410194,60521775495,3.635e+09,1.525e+10,3.7937e+10,5.984e+09,8.1e+07,1.855e+09,0,1.8e+09,"Comcast","Communication Services","97.1","15599.732","3.7",2.3,"15.4","2010.2",4.16e+09,18.6116620388735
"216",2010,"CMCSA",9.43,12.83,4848320071,45719658270,3.638e+09,1.4396e+10,3.5756e+10,6.71e+08,5e+07,1.711e+09,0,1.156e+09,"Comcast","Communication Services","-44.8","15048.970","3.9",2.5,"6.4","1742.6",3.635e+09,36.0551431601273
"217",2009,"CMCSA",6.96,8.5645,5.764e+09,40117440000,2.547e+09,1.3472e+10,3.4256e+10,1.195e+09,5.9e+07,1.626e+09,0,2.278e+09,"Comcast","Communication Services","1843.6","14478.067","-2.0",2.3,"14.2","1638.1",3.638e+09,23.0531609195402
"218",2008,"CMCSA",10.07,6.3895,5.916e+09,59574120000,2.587e+09,1.1175e+10,3.0895e+10,9.63e+08,9.8e+07,1.645e+09,0,1.495e+09,"Comcast","Communication Services","-96.5","14769.862","2.0",1.7,"4.5","1434.7",2.547e+09,-36.5491559086395
"219",2007,"CMCSA",12.87,10,6.196e+09,79742520000,2.533e+09,9.01e+09,2.4966e+10,1.239e+09,1.735e+09,1.45e+09,0,9.83e+08,"Comcast","Communication Services","59.1","14474.227","4.8",0.3,"-0.2","1373.1",2.587e+09,-22.2999222999223
"220",2006,"CMCSA",8.793333,12.77,6.32e+09,55573864560,9.28e+08,7.969e+09,2.2255e+10,6.93e+08,1.48e+08,1.06e+09,0,1.689e+09,"Comcast","Communication Services","-25.4","13815.583","6.0",0,"0.2","1375.2",2.533e+09,45.2236597886148
"221",2005,"CMCSA",11.13,9.123333,9.885e+09,1.1002e+11,9.7e+08,7.462e+09,2.0307e+10,4.52e+08,1.555e+09,9.59e+08,0,3.499e+09,"Comcast","Communication Services","5.2","13039.197","6.7",0.4,"2.1","1372.2",9.28e+08,-18.0293530997305
"222",2004,"CMCSA",9.723333,10.96,1.008e+10,98011196640,3.24e+09,7.041e+09,1.8348e+10,1.55e+09,2.493e+09,9.07e+08,0,3.161e+09,"Comcast","Communication Services","71.8","12217.196","6.6",1.9,"5.5","1344.6",9.7e+08,12.7185503160285
"223",2003,"CMCSA",9.75,10.1,10146926538,98932533746,-2.74e+08,6.304e+09,1.246e+10,7.81e+08,3.266e+09,1.383e+09,4.79e+08,6.953e+09,"Comcast","Communication Services","-20.6","11456.450","4.8",2.4,"6.5","1274.1",3.24e+09,3.58974358974359
"224",2002,"CMCSA",11.22333,9.48,7142428785,80161856683,608600000,5419800000,9674200000,3.5e+08,2623200000,967400000,454500000,2155700000,"Comcast","Communication Services","52.1","10929.108","3.3",2,"4.9","1196.7",-2.74e+08,-15.5330904464183
"225",2001,"CMCSA",13.58333,11.8,2847676162,38680933585,2021500000,4497400000,8218600000,651500000,3059700000,891900000,438500000,293900000,"Comcast","Communication Services","-53.7","10581.929","3.2",1.2,"3.3","1140.2",608600000,-13.1288130377455
"226",2000,"CMCSA",13.91667,14.19792,2844677662,39588431744,1065700000,3403200000,6209200000,922200000,7.606e+09,673300000,4.57e+08,517500000,"Comcast","Communication Services","25.8","10250.952","6.4",-0.2,"0.1","1103.7",2021500000,2.02095759977064
"227",1999,"CMCSA",10.29167,13.54167,2251048389,23167040420,972100000,0,5145300000,870700000,0,549300000,343800000,113500000,"Comcast","Communication Services","65.9","9631.127","6.3",0.2,"2.0","1102.3",1065700000,31.5789371404252
"228",2021,"CSCO",51.98,0,4.21e+09,218835800000,1.1214e+10,1.7618e+10,4.9301e+10,1.1809e+10,1.761e+10,1.0523e+10,1.282e+09,3.005e+09,"Cisco Systems","Information Technology","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"229",2020,"CSCO",38.330002,47.359998,4.236e+09,162365888472,1.1621e+10,1.9238e+10,5.1904e+10,1.175e+10,2.1663e+10,1.0586e+10,1.383e+09,1.0191e+10,"Cisco Systems","Information Technology","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",1.1214e+10,23.5585586455226
"230",2019,"CSCO",54.98,42.569998,4.419e+09,242956620000,1.1e+08,1.8724e+10,4.933e+10,8.934e+09,3.7614e+10,1.0503e+10,1.846e+09,5.238e+09,"Cisco Systems","Information Technology","19.3","21372.582","4.1",0.2,"4.5","3844.3",1.1621e+10,-22.5718479447072
"231",2018,"CSCO",41.009998,52.73,4.837e+09,198365360326,9.609e+09,1.7781e+10,4.8005e+10,1.1708e+10,5.8784e+10,1.0002e+10,1.616e+09,7.992e+09,"Cisco Systems","Information Technology","-9.3","20527.159","5.4",0.4,"4.4","3680.4",1.1e+08,28.5784017838772
"232",2017,"CSCO",33.580002,44.959999,5.01e+09,168235810020,1.0739e+10,1.8287e+10,4.9247e+10,7.631e+09,5.8125e+10,1.0119e+10,1.217e+09,4.16e+09,"Cisco Systems","Information Technology","1.7","19479.623","4.2",0.9,"8.5","3523.9",9.609e+09,33.8892088213694
"233",2016,"CSCO",28.690001,35.479999,5.053e+09,144970575053,8.981e+09,1.948e+10,4.9161e+10,6.877e+09,5.3539e+10,9.835e+09,1.627e+09,3.897e+09,"Cisco Systems","Information Technology","180.4","18695.106","2.7",1,"7.5","3248.5",1.0739e+10,23.6667750551839
"234",2015,"CSCO",27.25,27.46,5.104e+09,1.39084e+11,7.853e+09,1.9373e+10,4.7142e+10,6.726e+09,4.5348e+10,9.31e+09,1.591e+09,5.08e+08,"Cisco Systems","Information Technology","-3.7","18206.024","3.7",1.5,"7.3","3021.8",8.981e+09,0.770642201834866
"235",2014,"CSCO",23.1,30.950001,5.234e+09,120905400000,9.983e+09,1.9167e+10,4.8607e+10,7.925e+09,4.2685e+10,9.507e+09,1.476e+09,3.283e+09,"Cisco Systems","Information Technology","-49.1","17550.688","4.2",2.1,"10.4","2815.1",7.853e+09,33.9826883116883
"236",2013,"CSCO",20.83,22.25,5.329e+09,111003070000,8.041e+09,1.7852e+10,4.6061e+10,9.799e+09,3.8917e+10,8.03e+09,1.663e+09,3.1e+07,"Cisco Systems","Information Technology","-13.8","16843.196","3.6",2,"10.1","2549.6",9.983e+09,6.81709073451753
"237",2012,"CSCO",21.19,21.27,5.37e+09,113790305370,6.49e+09,1.6682e+10,4.3218e+10,7.662e+09,3.6923e+10,7.809e+09,1.486e+09,5.88e+08,"Cisco Systems","Information Technology","-40.8","16253.970","4.2",1.5,"15.2","2315.3",8.041e+09,0.377536573855584
"238",2011,"CSCO",17.04,20.06,5.529e+09,94214165529,7.767e+09,1.4397e+10,4.004e+10,4.581e+09,3.528e+10,4.929e+09,1.327e+09,3.096e+09,"Cisco Systems","Information Technology","97.1","15599.732","3.7",2.3,"15.4","2010.2",6.49e+09,17.7230046948357
"239",2010,"CSCO",25.83,18.56,5.732e+09,148057560000,6.134e+09,1.3023e+10,3.6117e+10,5.718e+09,2.9283e+10,3.177e+09,1.074e+09,0,"Cisco Systems","Information Technology","-44.8","15048.970","3.9",2.5,"6.4","1742.6",7.767e+09,-28.1455671699574
"240",2009,"CSCO",17.46,24.6,5.828e+09,101756874172,8.052e+09,1.4056e+10,3.954e+10,5.191e+09,2.1044e+10,3.821e+09,1.235e+09,5e+08,"Cisco Systems","Information Technology","1843.6","14478.067","-2.0",2.3,"14.2","1638.1",6.134e+09,40.893470790378
"241",2008,"CSCO",24.98,14.32,5.986e+09,149530280000,7.333e+09,1.2586e+10,3.4922e+10,3.728e+09,1.8538e+10,3.989e+09,1.322e+09,0,"Cisco Systems","Information Technology","-96.5","14769.862","2.0",1.7,"4.5","1434.7",8.052e+09,-42.6741393114492
"242",2007,"CSCO",25.4,24.4,6.055e+09,1.53797e+11,5.58e+09,9.737e+09,2.8484e+10,3.297e+09,1.4517e+10,3.303e+09,1.371e+09,0,"Cisco Systems","Information Technology","59.1","14474.227","4.8",0.3,"-0.2","1373.1",7.333e+09,-3.93700787401575
"243",2006,"CSCO",21.59,25.85,6.158e+09,132951220000,5.741e+09,8.13e+09,2.4801e+10,4.742e+09,2.227e+09,2.216e+09,1.297e+09,0,"Cisco Systems","Information Technology","-25.4","13815.583","6.0",0,"0.2","1375.2",5.58e+09,19.7313571097731
"244",2005,"CSCO",17.7,21.06,6.487e+09,114819906487,4.401e+09,6.919e+09,2.2045e+10,3.722e+09,4.947e+09,1.825e+09,1.207e+09,0,"Cisco Systems","Information Technology","5.2","13039.197","6.7",0.4,"2.1","1372.2",5.741e+09,18.9830508474576
"245",2004,"CSCO",23.74,17.5,6.84e+09,162381600000,3.578e+09,5.645e+09,1.8878e+10,3.925e+09,4.56e+09,1.514e+09,8.73e+08,0,"Cisco Systems","Information Technology","71.8","12217.196","6.6",1.9,"5.5","1344.6",4.401e+09,-26.284751474305
"246",2003,"CSCO",12.98,23.53,7.124e+09,92469520000,1.893e+09,6.902e+09,1.8915e+10,9.484e+09,3.172e+09,1.344e+09,8.8e+08,0,"Cisco Systems","Information Technology","-20.6","11456.450","4.8",2.4,"6.5","1274.1",3.578e+09,81.2788906009245
"247",2002,"CSCO",17.52,13.72,7.301e+09,127913520000,-1.014e+09,1.1221e+10,2.2293e+10,4.873e+09,2.034e+09,1.871e+09,1.684e+09,0,"Cisco Systems","Information Technology","52.1","10929.108","3.3",2,"4.9","1196.7",1.893e+09,-21.689497716895
"248",2001,"CSCO",15.0625,15,7.196e+09,108389750000,2.668e+09,6.746e+09,1.8928e+10,4.234e+09,1.291e+09,2.299e+09,1.232e+09,0,"Cisco Systems","Information Technology","-53.7","10581.929","3.2",1.2,"3.3","1140.2",-1.014e+09,-0.4149377593361
"249",2000,"CSCO",72.9375,24.5,6.917e+09,504508687500,2.096e+09,4.24e+09,1.2154e+10,8.27e+08,1.189e+09,1.242e+09,6.52e+08,0,"Cisco Systems","Information Technology","25.8","10250.952","6.4",-0.2,"0.1","1103.7",2.668e+09,-66.4095972579263
"250",1999,"CSCO",27.48438,65.84375,6.426e+09,176614593750,1350072000,2917617000,8458777000,534652000,1156849000,1297867000,361986000,0,"Cisco Systems","Information Technology","65.9","9631.127","6.3",0.2,"2.0","1102.3",2.096e+09,139.567892744897
"251",2021,"CVS",74.300003,0,1.32e+09,98076003960,7.179e+09,2.1966e+11,2.68706e+11,7.854e+09,3e+09,2.1742e+10,1.8496e+10,5.44e+09,"CVS Health","Health Care","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"252",2020,"CVS",58.34,71.279999,1.309e+09,76367060000,6.634e+09,2.11248e+11,2.56776e+11,5.683e+09,2.373e+09,1.9617e+10,1.7516e+10,3.781e+09,"CVS Health","Health Care","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",7.179e+09,22.180320534796
"253",2019,"CVS",54.189999,66.029999,1.301e+09,70501188699,-5.94e+08,1.63041e+11,1.94579e+11,4.059e+09,2.522e+09,1.7631e+10,1.645e+10,1.985e+09,"CVS Health","Health Care","19.3","21372.582","4.1",0.2,"4.5","3844.3",6.634e+09,21.8490500433484
"254",2018,"CVS",61.040001,60.130001,1.044e+09,63725761044,6.622e+09,1.5622e+11,1.84765e+11,1.696e+09,1.11e+08,1.3181e+10,1.5296e+10,4.821e+09,"CVS Health","Health Care","-9.3","20527.159","5.4",0.4,"4.4","3680.4",-5.94e+08,-1.49082566364964
"255",2017,"CVS",78.050003,69.150002,1.02e+09,79611003060,5.317e+09,1.48669e+11,1.77526e+11,3.371e+09,8.7e+07,1.2164e+10,1.476e+10,1.916e+09,"CVS Health","Health Care","1.7","19479.623","4.2",0.9,"8.5","3523.9",6.622e+09,-11.4029476718918
"256",2016,"CVS",104.82,82.474997,1.073e+09,112471860000,5.237e+09,1.26762e+11,1.5329e+11,2.459e+09,8.8e+07,1.1888e+10,1.4001e+10,1.197e+09,"CVS Health","Health Care","180.4","18695.106","2.7",1,"7.5","3248.5",5.317e+09,-21.3174995229918
"257",2015,"CVS",102.260002,99.775003,1.118e+09,114326682236,4.644e+09,1.14e+11,1.39367e+11,2.481e+09,3.4e+07,9.687e+09,1.193e+10,1.26e+09,"CVS Health","Health Care","-3.7","18206.024","3.7",1.5,"7.3","3021.8",5.237e+09,-2.43007916232977
"258",2014,"CVS",74.290001,105.365002,1.161e+09,86250691161,4.592e+09,1.02978e+11,1.26761e+11,4.089e+09,8.8e+07,8.729e+09,1.1045e+10,5.61e+08,"CVS Health","Health Care","-49.1","17550.688","4.2",2.1,"10.4","2815.1",4.644e+09,41.8293183223944
"259",2013,"CVS",54.53,73.54,1.217e+09,66363008783,3.877e+09,1.00627e+11,1.23133e+11,1.375e+09,5e+06,6.473e+09,1.0759e+10,6.95e+08,"CVS Health","Health Care","-13.8","16843.196","3.6",2,"10.1","2549.6",4.592e+09,34.8615441041629
"260",2012,"CVS",45.07,52.274,1.271e+09,57283970000,3.461e+09,8.6539e+10,1.071e+11,1.413e+09,5e+06,6.047e+09,1.0046e+10,8.06e+08,"CVS Health","Health Care","-40.8","16253.970","4.2",1.5,"15.2","2315.3",3.877e+09,15.984024850233
"261",2011,"CVS",34.96,45.748,1.338e+09,46776478662,3.427e+09,7.6156e+10,9.6413e+10,1.427e+09,4e+06,4.925e+09,1.0695e+10,1.405e+09,"CVS Health","Health Care","97.1","15599.732","3.7",2.3,"15.4","2010.2",3.461e+09,30.858123569794
"262",2010,"CVS",36.23,33.489,1.367e+09,49526410000,3.696e+09,7.8349e+10,9.8729e+10,1.086e+09,5e+06,5.457e+09,1.0343e+10,2.419e+09,"CVS Health","Health Care","-44.8","15048.970","3.9",2.5,"6.4","1742.6",3.427e+09,-7.56555340877726
"263",2009,"CVS",28.1,34.726,1.434e+09,40295400000,3212100000,69181500000,87471900000,1352400000,0,5384300000,9152600000,3697400000,"CVS Health","Health Care","1843.6","14478.067","-2.0",2.3,"14.2","1638.1",3.696e+09,23.5800711743772
"264",2008,"CVS",41.17,25.634,1433500000,59017192133,2.637e+09,60221800000,76329500000,1056600000,27500000,4579600000,8008200000,2132200000,"CVS Health","Health Care","-96.5","14769.862","2.0",1.7,"4.5","1434.7",3212100000,-37.7362156910372
"265",2007,"CVS",34.42,40.33,1328200000,45716641344,1368900000,31874800000,43813800000,530700000,0,2377400000,7108900000,2.187e+09,"CVS Health","Health Care","59.1","14474.227","4.8",0.3,"-0.2","1373.1",2.637e+09,17.1702498547356
"266",2006,"CVS",29.5,31.506,820600000,24207700000,1224700000,2.7105e+10,37006200000,513400000,0,1839600000,5719800000,5.95e+08,"CVS Health","Health Care","-25.4","13815.583","6.0",0,"0.2","1375.2",1368900000,6.8
"267",2005,"CVS",25.78,29.2075,811400000,20917892811,918800000,22563100000,30594300000,392300000,0,1764200000,5453900000,916200000,"CVS Health","Health Care","5.2","13039.197","6.7",0.4,"2.1","1372.2",1224700000,13.2951900698216
"268",2004,"CVS",17.45,25.4965,797200000,13911140797,847300000,1.9725e+10,2.6588e+10,843200000,0,1349600000,4016500000,323200000,"CVS Health","Health Care","71.8","12217.196","6.6",1.9,"5.5","1344.6",918800000,46.1117478510029
"269",2003,"CVS",11.78,18.9655,788800000,9292064000,716600000,18112700000,24181500000,700400000,0,1019300000,4013900000,36800000,"CVS Health","Health Care","-20.6","11456.450","4.8",2.4,"6.5","1274.1",847300000,60.9974533106961
"270",2002,"CVS",17.25,12.416,784600000,13534350000,413200000,16550400000,22241400000,236300000,0,966200000,3918600000,262200000,"CVS Health","Health Care","52.1","10929.108","3.3",2,"4.9","1196.7",716600000,-28.0231884057971
"271",2001,"CVS",29.11,14.131,784400000,22833884784,7.46e+08,14725800000,20087500000,337300000,0,824500000,3557600000,611200000,"CVS Health","Health Care","-53.7","10581.929","3.2",1.2,"3.3","1140.2",413200000,-51.4565441429062
"272",2000,"CVS",19.34375,29.826,7.82e+08,15126812500,635100000,13236900000,18098300000,2.3e+08,0,699300000,3445500000,468300000,"CVS Health","Health Care","25.8","10250.952","6.4",-0.2,"0.1","1103.7",7.46e+08,54.189337641357
"273",1999,"CVS",22.65625,16.83475,782600000,17730781250,396400000,11144400000,15273600000,180800000,0,650300000,3190200000,785700000,"CVS Health","Health Care","65.9","9631.127","6.3",0.2,"2.0","1102.3",635100000,-25.6948965517241
"274",2021,"EBAY",63.110001,0,681260000,42994319281.26,5.667e+09,2.473e+09,1.0271e+10,1.428e+09,2.398e+09,1.351e+09,0,1.8e+07,"eBay","Consumer Discretionary","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"275",2020,"EBAY",28.780001,59.14,7.1e+08,20433800710,1.786e+09,2.508e+09,1.08e+10,9.75e+08,1.85e+09,1.332e+09,0,1.022e+09,"eBay","Consumer Discretionary","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",5.667e+09,105.489916418002
"276",2019,"EBAY",37.68,36.539999,8.49e+08,31990320000,2.53e+09,2.382e+09,1.0746e+10,2.202e+09,2.713e+09,1.382e+09,0,1.546e+09,"eBay","Consumer Discretionary","19.3","21372.582","4.1",0.2,"4.5","3844.3",1.786e+09,-3.02548036093418
"277",2018,"EBAY",39.360001,37.489998,9.8e+08,38572800980,-1.016e+09,2.222e+09,9.567e+09,2.12e+09,3.743e+09,1.357e+09,0,7.81e+08,"eBay","Consumer Discretionary","-9.3","20527.159","5.4",0.4,"4.4","3680.4",2.53e+09,-4.75102376140691
"278",2017,"EBAY",33.759998,42.27,1.064e+09,35920637872,7.266e+09,2.007e+09,8.979e+09,1.816e+09,5.333e+09,5.92e+08,0,1.451e+09,"eBay","Consumer Discretionary","1.7","19479.623","4.2",0.9,"8.5","3523.9",-1.016e+09,25.2073533890612
"279",2016,"EBAY",23.879999,34.27,1.133e+09,27056038867,1.725e+09,1.771e+09,8.592e+09,1.832e+09,4.299e+09,6.19e+08,0,0,"eBay","Consumer Discretionary","180.4","18695.106","2.7",1,"7.5","3248.5",7.266e+09,43.509218739917
"280",2015,"EBAY",24.044613,24.25,1.208e+09,29045892504,4.6e+07,5.732e+09,1.7902e+10,6.328e+09,3.77e+09,1.4942e+10,0,8.5e+08,"eBay","Consumer Discretionary","-3.7","18206.024","3.7",1.5,"7.3","3021.8",1.725e+09,0.854191331754858
"281",2014,"EBAY",23.585859,24.570707,1.251e+09,29505909609,2.856e+09,5.036e+09,1.6047e+10,4.494e+09,4.531e+09,1.2948e+10,0,6e+06,"eBay","Consumer Discretionary","-49.1","17550.688","4.2",2.1,"10.4","2815.1",4.6e+07,4.17558673610319
"282",2013,"EBAY",23.44697,24.54125,1.295e+09,30363826150,2.609e+09,4.216e+09,1.4072e+10,6.817e+09,2.591e+09,1.1438e+10,0,4.02e+08,"eBay","Consumer Discretionary","-13.8","16843.196","3.6",2,"10.1","2549.6",2.856e+09,4.66704226601561
"283",2012,"EBAY",15.39983,23.10606,1.292e+09,19896582944,3229387000,3460184000,11651654000,4691101000,1238301000,6195280000,0,564601000,"eBay","Consumer Discretionary","-40.8","16253.970","4.2",1.5,"15.2","2315.3",2.609e+09,50.0410069461806
"284",2011,"EBAY",13.19865,15.30724,1292775000,17062888632,1800961000,2564667000,9156274000,5577411000,1045403000,3961286000,0,3e+08,"eBay","Consumer Discretionary","97.1","15599.732","3.7",2.3,"15.4","2010.2",3229387000,15.9758005553598
"285",2010,"EBAY",11.18266,13.59007,1305593000,1.46e+10,2389097000,2479762000,8727362000,3999818000,943986000,3188298000,0,0,"eBay","Consumer Discretionary","-44.8","15048.970","3.9",2.5,"6.4","1742.6",1800961000,21.5280621962932
"286",2009,"EBAY",5.526094,10.0505,1289848000,7127821294,1779474000,2228069000,8541261000,3188928000,163734000,2473230000,0,1e+09,"eBay","Consumer Discretionary","1843.6","14478.067","-2.0",2.3,"14.2","1638.1",2389097000,81.8734896655757
"287",2008,"EBAY",13.2197,4.419192,1303454000,17231266933,348251000,1762972000,7672329000,4221191000,658854000,907894000,0,0,"eBay","Consumer Discretionary","-96.5","14769.862","2.0",1.7,"4.5","1434.7",1779474000,-66.571162734404
"288",2007,"EBAY",13.88889,10.87963,1358797000,18872180707,1125639000,1256792000,5969741000,2662792000,542103000,792492000,0,0,"eBay","Consumer Discretionary","59.1","14474.227","4.8",0.3,"-0.2","1373.1",348251000,-21.6666702666664
"289",2006,"EBAY",16.41414,13.43855,1399251000,22967503208,1082043000,818104000,4552401000,1313580000,774650000,578070000,0,0,"eBay","Consumer Discretionary","-25.4","13815.583","6.0",0,"0.2","1375.2",1125639000,-18.128211407969
"290",2005,"EBAY",15.60185,16.79293,1361708000,21245166683,778223000,614415000,3271309000,1330045000,682004000,364280000,0,456077000,"eBay","Consumer Discretionary","5.2","13039.197","6.7",0.4,"2.1","1372.2",1082043000,7.63422286459617
"291",2004,"EBAY",15.20412,17.92088,2638916000,40122408728,441771000,416058000,2165096000,1381513000,340576000,305764000,0,2840000,"eBay","Consumer Discretionary","71.8","12217.196","6.6",1.9,"5.5","1344.6",778223000,17.8685777276159
"292",2003,"EBAY",9.061448,14.5686,1276576000,11567627042,249891000,213876000,1214100000,1109313000,89690000,172467000,0,2970000,"eBay","Consumer Discretionary","-20.6","11456.450","4.8",2.4,"6.5","1274.1",441771000,60.775628795751
"293",2002,"EBAY",5.943813,8.159722,1149984000,6835289849,90448000,134816000,748821000,523969000,199450000,101703000,0,16111000,"eBay","Consumer Discretionary","52.1","10929.108","3.3",2,"4.9","1196.7",249891000,37.2809339728555
"294",2001,"EBAY",3.715541,5.772306,1075884000,3997491113,48292000,51695000,431424000,201873000,354166000,67163000,0,15272000,"eBay","Consumer Discretionary","-53.7","10581.929","3.2",1.2,"3.3","1140.2",90448000,55.3557341985999
"295",2000,"EBAY",7.536301,3.945707,1007104000,7589838882,10800000,33300000,224700000,219700000,181100000,36500000,0,12300000,"eBay","Consumer Discretionary","25.8","10250.952","6.4",-0.2,"0.1","1103.7",48292000,-47.6439834343135
"296",1999,"EBAY",7.292982,7.851957,865880000,6314847254,2400000,2300000,47400000,31800000,0,6400000,0,0,"eBay","Consumer Discretionary","65.9","9631.127","6.3",0.2,"2.0","1102.3",10800000,7.66456025806727
"297",2021,"FB",298.660004,0,2.4e+09,716784009600,2.9146e+10,1.6692e+10,8.5965e+10,1.7576e+10,4.4378e+10,1.1335e+10,0,0,"Facebook","Communication Services","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"298",2020,"FB",159.600006,264.910004,2.851e+09,455019617106,1.8485e+10,1.277e+10,7.0697e+10,1.9079e+10,3.5776e+10,9.518e+09,0,2.77e+08,"Facebook","Communication Services","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",2.9146e+10,65.9837055394597
"299",2019,"FB",168.699997,196.440002,2.854e+09,481469791438,2.2112e+10,9.355e+09,5.5838e+10,1.0019e+10,3.1095e+10,7.587e+09,0,5e+08,"Facebook","Communication Services","19.3","21372.582","4.1",0.2,"4.5","3844.3",1.8485e+10,16.4433938905168
"300",2018,"FB",155.389999,162.279999,2.89e+09,449077097110,1.5934e+10,5.454e+09,4.0653e+10,8.079e+09,3.3632e+10,5.832e+09,0,0,"Facebook","Communication Services","-9.3","20527.159","5.4",0.4,"4.4","3680.4",2.2112e+10,4.43400479074591
"301",2017,"FB",142.279999,175.940002,2.901e+09,412754277099,1.0217e+10,3.789e+09,2.7638e+10,8.903e+09,2.0546e+10,3.993e+09,0,0,"Facebook","Communication Services","1.7","19479.623","4.2",0.9,"8.5","3523.9",1.5934e+10,23.6575788842956
"302",2016,"FB",116.059998,137.419998,2.863e+09,332279774274,3.688e+09,2.867e+09,1.7928e+10,4.907e+09,1.3527e+10,2.559e+09,0,2.01e+08,"Facebook","Communication Services","180.4","18695.106","2.7",1,"7.5","3248.5",1.0217e+10,18.4042739687106
"303",2015,"FB",81.669998,109.82,2.803e+09,228921004394,2.94e+09,2.153e+09,1.2466e+10,4.315e+09,6.884e+09,1.678e+09,0,0,"Facebook","Communication Services","-3.7","18206.024","3.7",1.5,"7.3","3021.8",3.688e+09,34.4679841916979
"304",2014,"FB",62.619999,79.75,2.614e+09,163688677386,1.5e+09,1.875e+09,7.872e+09,3.323e+09,8.126e+09,1.16e+09,0,0,"Facebook","Communication Services","-49.1","17550.688","4.2",2.1,"10.4","2815.1",2.94e+09,27.355479517015
"305",2013,"FB",25.53,67.41,2.42e+09,61782602420,5.3e+07,1.364e+09,5.089e+09,2.384e+09,7.242e+09,1.17e+09,0,0,"Facebook","Communication Services","-13.8","16843.196","3.6",2,"10.1","2549.6",1.5e+09,164.042303172738
"306",2021,"GE",13.28,0,8.78e+09,116598400000,5.704e+09,6.0421e+10,7.9619e+10,3.663e+10,7.319e+09,3.1711e+10,1.589e+10,4.777e+09,"General Electric","Industrials","#N/A","#N/A","#N/A",1.2,"#N/A","#N/A",NA,-100
"307",2020,"GE",7.04,13.14,8.753e+09,61621120000,-4.979e+09,7.0028e+10,9.5215e+10,3.6394e+10,4.8521e+10,2.7047e+10,1.4104e+10,2.2073e+10,"General Electric","Industrials","-39.9","20893.746","-2.2",0.5,"232.8","12792.9",5.704e+09,86.6477272727273
"308",2019,"GE",10.1,11.24,8.724e+09,88112400000,-2.2355e+10,9.2671e+10,1.21616e+11,3.4528e+10,3.3835e+10,3.3791e+10,1.9271e+10,1.3073e+10,"General Electric","Industrials","19.3","21372.582","4.1",0.2,"4.5","3844.3",-4.979e+09,11.2871287128713
"309",2018,"GE",12.615385,10.510385,8.691e+09,109640311035,-5.786e+09,9.1934e+10,1.20468e+11,4.3299e+10,3.8696e+10,4.1075e+10,2.1923e+10,2.4655e+10,"General Electric","Industrials","-9.3","20527.159","5.4",0.4,"4.4","3680.4",-2.2355e+10,-16.6859751010373
"310",2017,"GE",28.730768,14.173077,8641666667,248281720142.91,8.831e+09,8.7483e+10,1.19687e+11,4.8129e+10,4.4313e+10,4.2263e+10,2.2354e+10,3.1035e+10,"General Electric","Industrials","1.7","19479.623","4.2",0.9,"8.5","3523.9",-5.786e+09,-50.6693416618727
"311",2016,"GE",30.701923,29.932693,9.025e+09,277084855075,-6.126e+09,8.2693e+10,1.15158e+11,7.0483e+10,3.1973e+10,4.5857e+10,2.2515e+10,5.0812e+10,"General Electric","Industrials","180.4","18695.106","2.7",1,"7.5","3248.5",8.831e+09,-2.50547823991351
"312",2015,"GE",23.884615,29.615384,9.944e+09,237508611560,1.5233e+10,8.1311e+10,1.47811e+11,9.0208e+10,4.7907e+10,2.57148e+11,1.7689e+10,1.4207e+11,"General Electric","Industrials","-3.7","18206.024","3.7",1.5,"7.3","3021.8",-6.126e+09,23.9935581963536
